topic,source,num_sentences,the_freq,avg_sentence_length,avg_word_length,the_location
Ecology,wiki,541,0.08348056537102473,20.924214417744917,5.79526193767844,2.3049907578558226
Ecology,simple_wiki,25,0.08564231738035265,15.88,5.715854741337094,1.08
Mathematics,wiki,221,0.1334448860071115,21.63348416289593,5.766565156970484,1.0
Mathematics,simple_wiki,36,0.16829745596868884,14.194444444444445,5.383780364393043,1.0
Physics,wiki,215,0.09861660079051383,23.53488372093023,5.8043079917880185,2.702325581395349
Physics,simple_wiki,118,0.10821643286573146,16.915254237288135,5.307326820158592,1.6101694915254237
Statistics,wiki,224,0.09776370472986345,22.558035714285715,5.599099195042071,1.0446428571428572
Statistics,simple_wiki,73,0.11535337124289195,16.863013698630137,4.531631929225048,1.2602739726027397
Human_rights,wiki,366,0.09335779107935895,28.30054644808743,5.392590183321565,NA
Human_rights,simple_wiki,43,0.10013531799729364,17.186046511627907,5.073487789321522,1.302325581395349
Laws,wiki,418,0.08315240990013026,22.038277511961724,5.228765415532779,NA
Laws,simple_wiki,76,0.1111111111111111,18.355263157894736,4.895255735908791,1.0
Military,wiki,250,0.09092307692307693,26.0,5.379633756871742,1.0
Military,simple_wiki,49,0.12283044058744993,15.285714285714286,4.7089601477917755,1.0
Politics,wiki,182,0.10469011725293133,26.24175824175824,5.383443398101185,2.3626373626373627
Politics,simple_wiki,36,0.09549549549549549,15.416666666666666,5.073024227158436,1.0277777777777777
Trade,wiki,141,0.093266114512063375,19.69503546099291,5.268546730568065,1.3617021276595744
Trade,simple_wiki,19,0.09881422924901186,13.31578947368421,4.363000134495165,2.736842105263158
Bahá'í,wiki,237,0.10694121554300896,25.40928270042194,5.246543263796151,1.0
Bahá'í,simple_wiki,86,0.0996742671009772,17.848837209302324,4.858920299487709,1.2674418604651163
Buddhism,wiki,432,0.09741726406756358,23.57175925925926,5.484004665426655,2.900462962962963
Buddhism,simple_wiki,73,0.10801393728222997,15.726027397260275,4.802749421620435,2.808219178082192
Christianity,wiki,478,0.11581896174385013,23.897489539748953,5.547782331186631,1.497907949790795
Christianity,simple_wiki,179,0.11945093457943926,19.12849162011173,5.106045995464181,NA
Hinduism,wiki,484,0.08898639754278193,23.543388429752067,5.496043481338565,NA
Hinduism,simple_wiki,164,0.0877950489349453,21.182926829268293,5.001357478722619,1.896341463414634
Islam,wiki,416,0.09558232931726908,20.94951923076923,5.176619257397912,2.519230769230769
Islam,simple_wiki,103,0.10007199424046076,13.485436893203884,4.745767159256324,NA
Jainism,wiki,413,0.09317113630080177,17.515738498789347,5.364534850306575,2.876513317191283
Jainism,simple_wiki,27,0.06263498920086392,17.14814814814815,5.228742056198609,NA
Judaism,wiki,435,0.1045163868904876,23.00689655172414,5.313101421229373,2.7908045977011495
Judaism,simple_wiki,233,0.11206896551724138,15.931330472103005,4.532627903239001,1.4678111587982832
Mythology,wiki,167,0.08439275087909115,22.137724550898202,5.515290872851905,1.1377245508982037
Mythology,simple_wiki,41,0.10434782608695652,16.829268292682926,4.77563171922928,1.4146341463414633
Sikhism,wiki,353,0.10036260036260036,21.875354107648725,4.984521452662434,2.858356940509915
Sikhism,simple_wiki,50,0.11353711790393013,13.74,4.396910335437509,1.32
Taoism,wiki,246,0.09136565578520378,21.04471544715447,5.3217175827790975,2.8495934959349594
Taoism,simple_wiki,24,0.08021390374331551,15.583333333333334,4.253067300800144,NA
